date,commit,url_or_scope,change_type,old_state,new_state,target_query_cluster,reason,source_data,expected_impact,measurement_window,verified
2026-08-25,8034fde,"/reviews/[slug]",title_frame,"' Safety Review - Score N/100' suffix (29 chars); 41 of 138 review titles within 60 chars","'— Safety N/100' (16 chars); 110 of 138 within 60","product-name review queries","Frame consumed 29 characters of every review title. Product names were left untouched: trimming 'Wooden Puzzles' to hit a character count trades a real query term for a presentational metric.","seo/data/organic-positions.csv; audit-onpage.mjs title lengths","Titles over 60 chars sitewide 117 -> 40; over 70 55 -> 15. No ranking effect expected — reviews cannot win product-name SERPs.",n/a — no CTR data exists to measure this,"yes: audit-onpage.mjs, 40 over 60"
2026-08-25,8034fde,"/safe-toys/[material] x20, /best-toys/category/[c]/[age] x14",internal_links,"35 URLs reachable only via the sitemap; zero inbound internal links","review pages link linkable materials; category pages gained a 'Narrow by age' nav; /best-toys and /gift-guides added to the footer","material and category+age listings","A page nothing links to earns no internal PageRank and reads to Google as one the site does not consider worth linking. Only the 20 materials clearing MIN_REVIEWS_FOR_PAGE are linked — linking all 140 would have created 120 broken links.",audit-orphan-pages.mjs full-sitemap crawl,Orphans 35 -> 0,60-90 days,"yes: 0 orphans / 221, script-stripped so it holds without JS"
2026-08-25,8034fde,"/best-toys/[age]",canonical_consolidation,"/best-toys/6, /12, /24, /36 self-canonical and linked from the hub; 2-3-years and 3-plus-years omitted from the hub","all 11 age spellings canonicalise onto the 5 sitemap URLs; hub links exactly those 5","best toys for {age}","The hub sent 4 of 6 cards to self-canonical near-duplicates the sitemap omits, while skipping two age bands entirely because neither 30 nor 42 months is in AGE_MONTHS.",url-inventory.csv canonical columns,9 competing age URLs -> 5,60-90 days,"yes: audit-onpage.mjs reports 0 non-self-canonical sitemap URLs"
2026-08-25,19445b3,"/blog/[slug] (5 roundups)",affiliate_cta,"roundups linked products to review pages only; no buy path","'Where to find the toys in this post' section, 7 CTAs per roundup, 35 total","n/a — monetisation not ranking","Roundups are the highest purchase-intent pages and had no buy path. relatedReviews was already written by the generator; the page never read it. Affiliate URLs stay out of Portable Text because ArticleBody's generic external-link path lacks rel='nofollow sponsored'.",Sanity relatedReviews projection,affiliate clicks from blog,30 days once click data is reviewed,"yes: 5 roundups x 7 CTAs; 6 explainers render none"
2026-08-25,19445b3,sitewide,cta_label,"6 competing labels: 'Check Price', 'Check current price at Amazon', others","BUY_CTA_LABEL as the component default; all label= props removed","n/a — conversion","Call sites could drift. 'Check price at Amazon' not 'Buy on Amazon' because 94 of 138 links resolve to an Amazon search page, so promising a purchase overstates the click.",audit of 9 call sites,consistent CTA,n/a,"yes: BuyButton.test.tsx and verify-review-output.mjs both pin the string"
2026-08-25,56a9b1c,/,soft_404_fix,"homepage 'Latest safety articles' read safetyArticle and linked /blog/{slug}, which resolves blogPost only — one link rendered 'Post Not Found' under HTTP 200","reads blogPost; shows the 5 latest real posts; /blog anchor now 'All safety articles'",n/a — crawl hygiene,"A soft 404 answers 200, so no status-code link check and no Semrush broken-link report would flag it. Found by fetching every internal link target the sitemap omits and reading its canonical.",internal link graph vs sitemap diff,removes a dead link from the highest-authority page,n/a,"yes: homepage links 5 real posts, /blog/understanding-toy-recalls no longer linked"
2026-08-25,4c837d9,/llms.txt,new_route,404,"generated from Sanity; 64 verified links; methodology and limits stated for machine readers",AI citation,"A model summarising this site from page copy would flatten 'editorial safety score' into 'tested and certified safe'. Stating the limits in a machine-read file is the cheapest defence. Honest caveat: llms.txt is a convention, not a standard, with no confirmed consumption.",Semrush notice 'Llms.txt not found',unproven; low-cost bet,90 days against AI citation count,"yes: 200 text/plain, 11,253 bytes, all 64 links resolve"
2026-08-25,abea983,"src/components/seo/InternalLinks.tsx",internal_link_distribution,"guides min 1 / max 38 / total 73 inbound; 4 review pages held 124-147 each","guides min 14 / max 68 / total 390; worst review concentration 27","the 3 guide clusters that hold 25 of 30 ranking keywords","relatedContentQuery matched guides on ageRange, a field no buyingGuide has (they use targetAgeRange), so only the 4 with a category could ever match. Both review queries used fixed ordering, handing the same handful to every page.",url-inventory.csv internal_links_in; organic-pages.csv,"guides now hold 5 of the 6 most-linked non-chrome pages",60-90 days,"yes: re-crawled all 221 URLs, production matches local"
2026-08-25,da84f3a,"15 page.tsx + 3 loading.tsx + not-found.tsx",html_validity_a11y,"nested <main>: 3 on /best-toys/[age], /categories/[slug], /blog/[slug]; 2 on /guides/*, /recalls, /reviews. Skeletons emitted <main role=status aria-label=Loading> first in document order","exactly one <main> per document (the layout's, with the skip-link target); skeletons are <div role=status>",n/a — crawl and a11y hygiene,"One <main> per document; nesting is invalid and breaks screen-reader landmark navigation on every page. The skeleton-first ordering is the kernel of truth behind the reported 'Loading' P0.",audit-stale-claims.mjs; per-page <main> counts,"removes a loading state from the first main landmark on 31 routes",n/a,"yes: all 14 page types verified 1 <main>, a11y 0 bugs"
2026-08-25,1cb5581,scripts/audit-onpage.mjs,new_guards,"no check for duplicate canonicals, non-self-canonical sitemap URLs, or missing affiliate disclosures","all three added; all read 0 on production",n/a — compliance,"Affiliate disclosure removal is a compliance failure the Associates agreement makes material, and exactly what a refactor drops silently because nothing looks broken.",brief's required test list,prevents regression,continuous,"yes: verified non-vacuous — detects 3/6/7 affiliate links per page type"
2026-08-25,1cb5581,.github/workflows/seo-guards.yml,new_workflow,"none of the audit scripts ran in any workflow","8 guards daily at 07:15 UTC and on demand, if:always()",n/a — regression prevention,"Runs against production, not a CI build: main CI builds with NEXT_PUBLIC_SANITY_PROJECT_ID 'ci-project', so a CI-built site has no content and crawling it proves nothing.",n/a,prevents silent regression,continuous,"yes: all 8 exit 0 against production"
2026-08-25,1cb5581,src/lib/seo/claim-negation.ts,new_tests,"prohibited-claim patterns duplicated between a .mjs script and nothing tested","17 vitest tests incl. a drift guard asserting the script's array matches the module's",n/a — compliance,"The first scanner reported 373 findings, all of them the site's own disclaimers. A scanner that flags the truth teaches whoever runs it to delete it. The drift guard caught a real divergence on first run.",production disclaimer sentences from /about /  /transparency,prevents both false positives and silent gaps,continuous,"yes: 659 tests pass"
2026-08-26,content,"Fix mid-clause splice in claim qualifier","src/lib/content/qualify-claims.ts","10 review pages rendered a full-sentence qualification inside another clause (""flush-mounted with No small parts are described in the published product information.; battery compartment..."") in both visible copy and Review JSON-LD reviewBody. Rules now carry a clause-level ""fragment"" form selected by match position; tidy() repairs a full stop before a weaker mark as a backstop. 17 regression tests built from the live strings.",none
2026-08-26,measurement,"Retire www Semrush project for apex project 30984142","/.env.local, seo/technical-audit.md","www project 30424632 crawled only 100 pages and double-counted www vs apex, producing 182 phantom broken links and 84 phantom duplicates. Apex project: 243 pages, limit 500, errors 270 to 138.",none
2026-08-26,measurement,"Dismiss Semrush issue 45 (138 structured-data errors) as false positive","seo/technical-audit.md","Google validator.schema.org reports 0 errors 0 warnings on flagged pages; all 138 review pages carry only BreadcrumbList + Review with every Google-required field. Semrush applies product-page rules to a Product used as itemReviewed. Fixing it would require fabricated offers, a misrepresented aggregateRating, or a circular review.",none
2026-08-26,indexing,"Resubmit sitemap via Search Console API","scripts/submit-sitemap.mjs","Google last downloaded the sitemap 2026-08-03 holding 212 URLs against 221 live. HTTP 204, lastSubmitted now 2026-08-26, isPending true. Needed the service account raised from Restricted to Full.",none
2026-08-26,indexing,"Stop the sitemap claiming 138 pages change every day","src/lib/seo/sitemap.ts, src/app/sitemap.ts","The nightly sync-recalls cron patches recallCheckedAt on all 138 reviews so pages can truthfully say ""no matching CPSC recall as of <date>"". That bumps _updatedAt, so every review reported lastmod = today: measured 138 of 138 updated 2026-08-26 with zero created or edited that day. Google discounts lastmod sitewide when it is inaccurate, which this site could least afford with all 7 hubs never crawled. contentLastModified() now falls back to publishedAt when the newest write coincides with recallCheckedAt. Verified against live Sanity: lastmod now spreads across 2026-06-02 (75), 2026-07-02 (50), 2026-06-03 (7), 2026-08-17 (6), none undated. Recall pipeline untouched.",none
2026-08-26,indexing,"Backfill all 221 URLs to IndexNow","scripts/submit-indexnow.mjs","submitToIndexNow was wired only to the Sanity webhook and publish path, so the pre-existing catalogue had never been announced. HTTP 200, 221 submitted, 0 skipped. Reaches Bing/Yandex/Seznam/Naver only - Google is not an IndexNow participant, so this does not affect Google coverage.",none
2026-08-26,indexing,"Rank the 143 never-crawled URLs for Request Indexing","scripts/rank-indexing-requests.mjs","Request Indexing has no API and allows ~10-12/day against 143 uncrawled URLs, so ordering is the whole problem. Greedy set cover over internal links: /reviews alone reaches 97 of 143, and the top 12 reach 137 of 143 (96%) counting each once. Ranking by raw link count instead overstated reach as 622 against 143 existing URLs.",none
2026-08-26,indexing,"Prove Request Indexing cannot be automated (4 routes)","seo/technical-audit.md","Chrome remote debugging blocked on default profile (151.0.7922.174, incl. --remote-debugging-pipe). Copied-profile workaround lifts that restriction but the session does not survive: all 7 Google session cookies copy intact with valid encrypted payloads, Chrome fully quit, still redirected to accounts.google.com/signin - a deliberate anti-session-transfer control. Indexing API SERVICE_DISABLED on project 284973495286 and JobPosting/BroadcastEvent only. Sitemap ping retired 2024. scripts/gsc-browser.py written, disproven, deleted. Chrome restored to a normal launch with no automation flags; live profile only ever read.",none
2026-08-26,technical,"Out-of-range ?page= no longer serves an indexable empty page","src/lib/seo/pagination.ts, recalls/page.tsx, categories/[slug]/page.tsx, blog/page.tsx","/recalls?page=10|99|99999 and /categories/outdoor-toys?page=50 returned HTTP 200 with an empty state and NO robots meta, so they were indexable soft 404s. Three routes each clamped only the floor (Math.max(1, ...)) with no ceiling. Now notFound() past the last page, which under PPR streaming yields 200 + <meta robots noindex> (documented Next.js behaviour, verified). Also: ?page=1 dropped from all pagination links since it served byte-identical HTML to the bare path; fractional (?page=2.7) and Infinity (?page=1e999) params truncated/rejected; unified the three drifted copies of the parse/clamp/count logic.",none
2026-08-26,measurement,"Disprove own soft-404 alarm across 8 route families","seo/technical-audit.md","Observed every notFound() call site returning HTTP 200 and flagged it as a sitewide soft-404 defect. Checked Next 16 docs and it is documented intended behaviour for streamed responses, compensated with <meta robots noindex>. Verified the tag lands on all 10 not-found cases and is absent on real pages. Not a defect; no action.",none
2026-08-26,content,"Link every age-appropriate review into the four category guides","scripts/expand-guide-product-links.mjs","GSC first-party: sensory queries are 274 of 405 query-page impressions (68%), 271 of them on /guides/best-sensory-toys-babies, which ranked 41-80 while being 495 words with 6 linked products against 35 available in the category. All four guides carrying a category ref were linking exactly 6. Added 81 references to already-published verified reviews, selected by each guide's own category and targetAgeRange overlap, excluding active recalls. Live: 34/50/31/28 links, 912/1143/847/776 words, 247-407KB. No new products sourced and nothing invented.",none
2026-08-26,measurement,"Semrush keyword pull degraded - do not plan from it","scripts/keyword-research.mjs, seo/keyword-research.csv","phrase_kdi hit ERROR 132 API UNITS BALANCE IS ZERO mid-run so 47 of 136 rows were never scored and default to difficulty 100 (read as unreachable). 9 of 12 seeds returned ERROR 50 for phrase_related. Top-scoring rows included 'check your recall unit 9', 'cpsc recall ml837-15' and 'crib recall' - cribs are not toys. Superseded by GSC for planning; kept for the volume estimates on plush/wooden clusters.",none
2026-08-26,qa,"Affiliate auditor could not see unavailable products","src/lib/affiliate/audit-sanity-links.ts","30 of 44 direct /dp/{ASIN} links were dead while the weekly cron reported them healthy. Amazon serves an unavailable product with HTTP 200, a complete page, no bot wall and none of the not-found wording, so probeUrl returned ok. NOT_FOUND_MARKERS covered only page-not-found phrasing. Added UNAVAILABLE_MARKERS (currently unavailable / no longer available for purchase) resolving to dead with a distinct note. Corrected detector now agrees with the independent verify-direct-links.mjs at 30 dead / 14 ok. A buy-affordance guard was tried first and removed: Amazon ships add-to-cart and buy-now strings on unavailable listings too, so it suppressed every detection.",none
