url,page_type,http_status,in_sitemap,indexable,canonical_path,canonical_host,self_canonical,title,title_len,meta_description,meta_desc_len,h1,h1_count,h2_count,word_count,html_bytes,schema_types,images,images_no_alt,main_elements,internal_links_in,internal_links_in_editorial,internal_links_out,ranking_keywords,best_position,ranking_volume,observed_hosts,top_keyword,search_intent__editorial,conversion_goal__editorial,disposition__editorial,disposition_reason
/,homepage,200,yes,yes,/,safenesttoys.com,yes,"SafeNest Toys — Safer Toys, Smarter Play, Built by Parents",58,"Independent toy safety reviews scored out of 100 for babies & toddlers — built by parents to help families choose safer, smarter toys with confidence.",150,Safe play starts with informed choices,1,6,817,150331,Answer|FAQPage|Organization|Person|Place|PostalAddress|Question|SearchAction|WebSite,7,0,1,231,chrome,34,0,,0,,,navigational,discovery -> guides/reviews,keep,"healthy, no ranking signal yet"
/about,about,200,yes,yes,/about,safenesttoys.com,yes,About SafeNest Toys — A Family-Built Toy Safety Guide,53,"SafeNest was built by Rodrigo and Vanessa, homeschooling parents of three in Kennesaw, Georgia, to help families choose safer, smarter toys with confidence.",156,About SafeNest Toys,1,4,527,60562,,1,0,1,231,chrome,18,0,,0,,,navigational,trust,keep,"healthy, no ranking signal yet"
/best-toys,age hub,200,yes,yes,/best-toys,safenesttoys.com,yes,Best Toys by Age | SafeNest Toys,32,"Compare developmentally appropriate toys by age, from newborn to 3 years and up, using parent-researched reviews built on publicly available product and recall information.",172,Best Toys by Age,1,5,219,53308,,0,0,1,231,chrome,23,0,,0,,,commercial investigation,discovery -> age page,improve,thin: 219 words
/best-toys/0-12-months,age listing,200,no,yes,/best-toys/6-12-months,safenesttoys.com,no,Best Toys for 0–12 months | SafeNest Toys,41,"Parent-researched toy reviews for babies and toddlers at 0–12 months, compared using publicly available product and recall information.",135,Best Toys for 0–12 months,1,43,1672,659581,BreadcrumbList|ListItem,84,0,1,0,0,63,0,,0,,,commercial investigation,affiliate click,consolidate,canonicalises to /best-toys/6-12-months
/best-toys/0-6-months,age listing,200,yes,yes,/best-toys/0-6-months,safenesttoys.com,yes,Best Toys for 0–6 months | SafeNest Toys,40,"Parent-researched toy reviews for babies and toddlers at 0–6 months, compared using publicly available product and recall information.",134,Best Toys for 0–6 months,1,22,954,364954,BreadcrumbList|ListItem,42,0,1,2,2,42,0,,0,,,commercial investigation,affiliate click,keep,"healthy, no ranking signal yet"
/best-toys/1-2-years,age listing,200,yes,yes,/best-toys/1-2-years,safenesttoys.com,yes,Best Toys for 1–2 years | SafeNest Toys,39,"Parent-researched toy reviews for babies and toddlers at 1–2 years, compared using publicly available product and recall information.",133,Best Toys for 1–2 years,1,88,3243,1289936,BreadcrumbList|ListItem,174,0,1,2,2,108,0,,0,,,commercial investigation,affiliate click,keep,"healthy, no ranking signal yet"
/best-toys/12,age listing,200,no,yes,/best-toys/1-2-years,safenesttoys.com,no,Best Toys for 1 year | SafeNest Toys,36,"Parent-researched toy reviews for babies and toddlers at 1 year, compared using publicly available product and recall information.",130,Best Toys for 1 year,1,75,2766,1107547,BreadcrumbList|ListItem,148,0,1,0,0,95,0,,0,,,commercial investigation,affiliate click,consolidate,canonicalises to /best-toys/1-2-years
/best-toys/12-24-months,age listing,200,no,yes,/best-toys/1-2-years,safenesttoys.com,no,Best Toys for 12–24 months | SafeNest Toys,42,"Parent-researched toy reviews for babies and toddlers at 12–24 months, compared using publicly available product and recall information.",136,Best Toys for 12–24 months,1,88,3258,1290578,BreadcrumbList|ListItem,174,0,1,0,0,108,0,,0,,,commercial investigation,affiliate click,consolidate,canonicalises to /best-toys/1-2-years
/best-toys/18,age listing,200,no,yes,/best-toys/1-2-years,safenesttoys.com,no,Best Toys for 18 months | SafeNest Toys,39,"Parent-researched toy reviews for babies and toddlers at 18 months, compared using publicly available product and recall information.",133,Best Toys for 18 months,1,88,3239,1289725,BreadcrumbList|ListItem,174,0,1,0,0,108,0,,0,,,commercial investigation,affiliate click,consolidate,canonicalises to /best-toys/1-2-years
/best-toys/2-3-years,age listing,200,yes,yes,/best-toys/2-3-years,safenesttoys.com,yes,Best Toys for 2–3 years | SafeNest Toys,39,"Parent-researched toy reviews for babies and toddlers at 2–3 years, compared using publicly available product and recall information.",133,Best Toys for 2–3 years,1,84,3120,1234616,BreadcrumbList|ListItem,166,0,1,2,2,104,0,,0,,,commercial investigation,affiliate click,keep,"healthy, no ranking signal yet"
/best-toys/24,age listing,200,no,yes,/best-toys/2-3-years,safenesttoys.com,no,Best Toys for 2 years | SafeNest Toys,37,"Parent-researched toy reviews for babies and toddlers at 2 years, compared using publicly available product and recall information.",131,Best Toys for 2 years,1,98,3619,1430943,BreadcrumbList|ListItem,194,0,1,0,0,118,0,,0,,,commercial investigation,affiliate click,consolidate,canonicalises to /best-toys/2-3-years
/best-toys/24-36-months,age listing,200,no,yes,/best-toys/2-3-years,safenesttoys.com,no,Best Toys for 24–36 months | SafeNest Toys,42,"Parent-researched toy reviews for babies and toddlers at 24–36 months, compared using publicly available product and recall information.",136,Best Toys for 24–36 months,1,84,3125,1234789,BreadcrumbList|ListItem,166,0,1,0,0,104,0,,0,,,commercial investigation,affiliate click,consolidate,canonicalises to /best-toys/2-3-years
