keyword,class,class_reason,primary_url,current_position,search_volume,keyword_difficulty,search_intent,internal_links_in,page_words,c_demand_normalised,c_attainability,c_intent_fit,c_authority_fit,c_authority_note,c_ctr_potential,c_ctr_note,c_business_value,c_business_note,c_effort,c_effort_note,opportunity_score
best toys for building independence,C existing-page expansion (51-100),"position 98, KD 12 — page is understood but not competitive",/guides/best-building-toys-preschoolers,98,4400,12,commercial investigation,1,4,1,0.44,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,77
best toys for 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,2400,15,commercial investigation,1,4,0.5455,0.338,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,30.73
sensory toys for babies,C existing-page expansion (51-100),"position 62, KD 24 — page is understood but not competitive",/guides/best-sensory-toys-babies,62,3600,24,commercial investigation,1,4,0.8182,0.33,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,30.38
baby sensory toys,B2 striking distance (21-50),"position 45, KD 23 — closest thing to striking distance on this site",/guides/best-sensory-toys-babies,45,880,23,commercial investigation,1,4,0.2,0.493,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,11.09
sensory toys for newborns,B2 striking distance (21-50),"position 40, KD 21 — closest thing to striking distance on this site",/guides/best-sensory-toys-babies,40,720,21,commercial investigation,1,4,0.1636,0.52,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,9.57
sensory toys for infants,C existing-page expansion (51-100),"position 59, KD 14 — page is understood but not competitive",/guides/best-sensory-toys-babies,59,590,14,commercial investigation,1,4,0.1341,0.422,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,6.37
best toys for a 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,320,15,commercial investigation,1,4,0.0727,0.338,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,4.1
best toys for 6 month olds,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,260,15,commercial investigation,1,4,0.0591,0.338,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,3.33
best toy for 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,260,15,commercial investigation,1,4,0.0591,0.338,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,3.33
sensory baby toys,B2 striking distance (21-50),"position 41, KD 4 — closest thing to striking distance on this site",/guides/best-sensory-toys-babies,41,170,4,commercial investigation,1,4,0.0386,0.747,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,3.24
best toys for 6 month old baby,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,170,15,commercial investigation,1,4,0.0386,0.338,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,2.17
best building sets for 3 year olds,C existing-page expansion (51-100),"position 59, KD 9 — page is understood but not competitive",/guides/best-building-toys-preschoolers,59,90,9,commercial investigation,1,4,0.0205,0.468,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,1.68
sensory toys for baby,C existing-page expansion (51-100),"position 59, KD 22 — page is understood but not competitive",/guides/best-sensory-toys-babies,59,170,22,commercial investigation,1,4,0.0386,0.348,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,1.51
best developmental toys for 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,140,22,commercial investigation,1,4,0.0318,0.285,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,1.51
best construction toys,C existing-page expansion (51-100),"position 79, KD 15 — page is understood but not competitive",/guides/best-building-toys-preschoolers,79,90,15,commercial investigation,1,4,0.0205,0.413,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,1.48
best building toys for 3 year olds,C existing-page expansion (51-100),"position 75, KD 7 — page is understood but not competitive",/guides/best-building-toys-preschoolers,75,70,7,commercial investigation,1,4,0.0159,0.486,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,1.35
sensory items for infants,C existing-page expansion (51-100),"position 52, KD 9 — page is understood but not competitive",/guides/best-sensory-toys-babies,52,110,9,commercial investigation,1,4,0.025,0.468,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,1.32
what are baby sensory toys,C existing-page expansion (51-100),"position 93, KD 24 — page is understood but not competitive",/guides/best-sensory-toys-babies,93,170,24,informational,1,4,0.0386,0.33,0.8,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,1.27
best building construction toys,C existing-page expansion (51-100),"position 80, KD 11 — page is understood but not competitive",/guides/best-building-toys-preschoolers,80,70,11,commercial investigation,1,4,0.0159,0.449,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,1.25
best learning toys for 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,90,11,commercial investigation,1,4,0.0205,0.367,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,1.25
sensory infant toys,C existing-page expansion (51-100),"position 56, KD 3 — page is understood but not competitive",/guides/best-sensory-toys-babies,56,90,3,commercial investigation,1,4,0.0205,0.522,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,1.2
best sensory toys for infants,C existing-page expansion (51-100),"position 80, KD 31 — page is understood but not competitive",/guides/best-sensory-toys-babies,80,110,31,commercial investigation,1,4,0.025,0.266,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,1.16
sensory toys newborn,B2 striking distance (21-50),"position 40, KD 12 — closest thing to striking distance on this site",/guides/best-sensory-toys-babies,40,70,12,commercial investigation,1,4,0.0159,0.64,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,1.14
best sensory toys for 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-sensory-toys-babies,not ranking,90,17,commercial investigation,1,4,0.0205,0.323,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,1.1
best sensory toys for newborns,C existing-page expansion (51-100),"position 91, KD 28 — page is understood but not competitive",/guides/best-sensory-toys-babies,91,90,28,commercial investigation,1,4,0.0205,0.293,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,1.05
best educational toys for 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,70,12,commercial investigation,1,4,0.0159,0.36,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,0.95
best building toy,C existing-page expansion (51-100),"position 82, KD 13 — page is understood but not competitive",/guides/best-building-toys-preschoolers,82,50,13,commercial investigation,1,4,0.0114,0.431,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,0.86
baby sensory toy,C existing-page expansion (51-100),"position 65, KD 8 — page is understood but not competitive",/guides/best-sensory-toys-babies,65,70,8,commercial investigation,1,4,0.0159,0.477,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,0.85
best montessori toys for 6 month old,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-toys-6-12-months,not ranking,40,2,commercial investigation,1,4,0.0091,0.435,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,0.66
best sensory toys for babies,C existing-page expansion (51-100),"position 80, KD 25 — page is understood but not competitive",/guides/best-sensory-toys-babies,80,50,25,commercial investigation,1,4,0.0114,0.321,1,1,"buying guide, SafeNest's strongest format",0.35,"deep, but the query shape favours a strong title",1,affiliate + email,2,thin at 4 words; expand,0.64
sensory toys for 12 month old,C existing-page expansion (51-100),"position 89, KD 10 — page is understood but not competitive",/guides/best-sensory-toys-babies,89,50,10,commercial investigation,1,4,0.0114,0.458,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,0.59
sensory toys baby,C existing-page expansion (51-100),"position 58, KD 0 — page is understood but not competitive",/guides/best-sensory-toys-babies,58,40,0,commercial investigation,1,4,0.0091,0.55,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,0.56
non toxic wood toys,C existing-page expansion (51-100),"position 78, KD 15 — page is understood but not competitive",/guides/best-wooden-nontoxic-toys,78,50,15,commercial investigation,1,6,0.0114,0.413,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 6 words; expand,0.53
sensory toy for infant,C existing-page expansion (51-100),"position 62, KD 16 — page is understood but not competitive",/guides/best-sensory-toys-babies,62,50,16,commercial investigation,1,4,0.0114,0.403,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,0.52
vtech race & learn driver product info and reviews,B2 striking distance (21-50),"position 25, KD 19 — closest thing to striking distance on this site",/reviews/vtech-race-and-learn-driver,25,260,19,transactional/navigational,1,NaN,0.0591,0.547,0.45,0.15,product-name SERP is retailer-owned,0.25,deep in the results,0.85,"affiliate, but low acquisition ceiling",1.5,on-page refinement,0.31
baby sensory toys year,C existing-page expansion (51-100),"position 69, KD 31 — page is understood but not competitive",/guides/best-sensory-toys-babies,69,40,31,commercial investigation,1,4,0.0091,0.266,0.9,1,"buying guide, SafeNest's strongest format",0.25,deep in the results,1,affiliate + email,2,thin at 4 words; expand,0.27
little tikes 3 in 1 splash n grow water table,B2 striking distance (21-50),"position 43, KD 30 — closest thing to striking distance on this site",/reviews/little-tikes-3-in-1-splash-n-grow-water-table,43,70,30,commercial investigation,1,NaN,0.0159,0.4,0.9,0.2,single review page,0.25,deep in the results,0.85,"affiliate, but low acquisition ceiling",1.5,on-page refinement,0.16
little tikes 3-in-1 splash 'n grow water table,B2 striking distance (21-50),"position 45, KD 30 — closest thing to striking distance on this site",/reviews/little-tikes-3-in-1-splash-n-grow-water-table,45,50,30,commercial investigation,1,NaN,0.0114,0.4,0.9,0.2,single review page,0.25,deep in the results,0.85,"affiliate, but low acquisition ceiling",1.5,on-page refinement,0.12
3 in 1 splash n grow water table,B2 striking distance (21-50),"position 38, KD 23 — closest thing to striking distance on this site",/reviews/little-tikes-3-in-1-splash-n-grow-water-table,38,40,23,commercial investigation,1,NaN,0.0091,0.493,0.9,0.2,single review page,0.25,deep in the results,0.85,"affiliate, but low acquisition ceiling",1.5,on-page refinement,0.11
mega bloks first builders big building bag reviews,B2 striking distance (21-50),"position 35, KD 21 — closest thing to striking distance on this site",/reviews/mega-bloks-first-builders-big-bag-of-blocks,35,50,21,transactional/navigational,1,NaN,0.0114,0.52,0.45,0.15,product-name SERP is retailer-owned,0.25,deep in the results,0.85,"affiliate, but low acquisition ceiling",1.5,on-page refinement,0.06
best wooden toys for toddlers,"E existing page, zero ranking",SafeNest owns a page for this cluster but does not rank in the top 100,/guides/best-wooden-nontoxic-toys,not ranking,0,10,commercial investigation,1,6,0,0.375,1,1,"buying guide, SafeNest's strongest format",0.5,not ranking; prior only,1,affiliate + email,3,page exists but needs expansion and internal links,0
sensory toys (category),D consolidation,"The guide holds 18 keywords worth 7,070/mo. The cron-generated w34 roundup is ~400 words, ranks for nothing, and targets the same category intent. The cron rotates 4 categories on week-stamped slugs, so it will mint another near-duplicate of this every ~8 weeks indefinitely.",/guides/best-sensory-toys-babies,,,,commercial investigation,1,4,,,,,competing: /categories/sensory-toys | /blog/top-child-safe-sensory-toys-2026-w34 | /best-toys/category/sensory-toys/0-6-months,,,,,,"needs an editorial decision, not a code change",
building toys (category),D consolidation,"The guide holds 6 keywords worth 4,770/mo including 'best toys for building independence' (4,400/mo, KD 12) at position 98. Two other pages target the same intent, one of them a dated 2025 guide.",/guides/best-building-toys-preschoolers,,,,commercial investigation,1,4,,,,,competing: /categories/building-toys | /blog/top-child-safe-building-toys-2026-w32 | /guides/best-building-toys-toddlers-2025,,,,,,"needs an editorial decision, not a code change",
6-12 month toys,D consolidation,"Near-identical titles: 'Best Toys for 6-12 months' (listing, 1,676 words, 42 product cards) vs 'Best Toys for 6-12 Month Olds' (guide, 471 words). Both self-canonical. The head term 'best toys for 6 month old' is 2,400/mo at KD 15 and neither ranks. The SERP is collection-page dominated, which favours the listing as keeper.",/best-toys/6-12-months,,,,commercial investigation,1,43,,,,,competing: /guides/best-toys-6-12-months,,,,,,"needs an editorial decision, not a code change",
lovevery play kits,F reject,Brand-navigational. lovevery.com owns it; CPC $13.38 signals pure commercial competition SafeNest cannot enter credibly.,,,9900,,transactional,,,,,,,,,,,,,,
fisher price giant rock a stack,F reject,"Product-name SERP: Target, Walmart, shop.mattel, Amazon, eBay, Macy's. Zero editorial results in the top 10.",,,320,,transactional,,,,,,,,,,,,,,
